start the A market get data program at 21:24:49
http://quotes.money.163.com/hs/service/diyrank.php?host=http%3A%2F%2Fquotes.money.163.com%2Fhs%2Fservice%2Fdiyrank.php&page=0&query=STYPE%3AEQA&fields=NO%2CNAME%2CSYMBOL%2CVOLUME&sort=SYMBOL&order=asc&count=5000&type=query      SYMBOL    NAME  DATE     VOLUME
660   002200   _st云投  None    1491901
661   002201    九鼎新材  None   40489864
662   002202    金风科技  None   13670118
663   002203    海亮股份  None    4553100
664   002204    大连重工  None    2582000
665   002205    国统股份  None    1032593
666   002206   海 利 得  None    3383750
667   002207    st准油  None     179600
668   002208    合肥城建  None    2153140
669   002209   达 意 隆  None    2014471
670   002210   _st飞马  None   45072202
671   002211    宏达新材  None    3549403
672   002212    南洋股份  None    8521504
673   002213   特 尔 佳  None    2032000
674   002214    大立科技  None    5190383
675   002215   诺 普 信  None    3414208
676   002216    三全食品  None    3771625
677   002217     合力泰  None   44618642
678   002218    拓日新能  None    3454404
679   002219    恒康医疗  None    4912200
680   002220    st天宝  None   13848420
681   002221    东华能源  None    6299972
682   002222    福晶科技  None    5311350
683   002223    鱼跃医疗  None    6667660
684   002224   三 力 士  None    7365631
685   002225    濮耐股份  None    3040900
686   002226    江南化工  None    4926600
687   002227   奥 特 迅  None     251200
688   002228    合兴包装  None   10942789
689   002229    鸿博股份  None   10157272
690   002230    科大讯飞  None   16813186
691   002231    奥维通信  None    1887800
692   002232    启明信息  None    1605758
693   002233    塔牌集团  None   13345928
694   002234    民和股份  None   10120246
695   002235    安妮股份  None   63204907
696   002236    大华股份  None   34155301
697   002237    恒邦股份  None   30481599
698   002238    天威视讯  None    1443740
699   002239     奥特佳  None   15937062
700   002240    威华股份  None    4465065
701   002241    歌尔股份  None   68393754
702   002242    九阳股份  None    4033548
703   002243    通产丽星  None    5949613
704   002244    滨江集团  None   14340289
705   002245    澳洋顺昌  None   11534052
706   002246    北化股份  None    1357701
707   002247    聚力文化  None   93339278
708   002248    华东数控  None    1669100
709   002249    大洋电机  None    8010933
710   002250    联化科技  None    6285325
711   002251   步 步 高  None    3832996
712   002252    上海莱士  None   14721036
713   002253    川大智胜  None    1488691
714   002254    泰和新材  None          0
715   002255    海陆重工  None    3303100
716   002256    兆新股份  None   51492304
717   002258    利尔化学  None    2723523
718   002259   _st升达  None    2607901
719   002260   _st德奥  None          0
720   002261    拓维信息  None    9619737
721   002262    恩华药业  None    5487925
722   002263   _st东南  None   16505302
723   002264   新 华 都  None    9530443
724   002265    西仪股份  None    2788800
725   002266    浙富控股  None   14666971
726   002267    陕天然气  None    2176575
727   002268   卫 士 通  None    5667540
728   002269    美邦服饰  None    2640400
729   002270    华明装备  None   10894350
730   002271    东方雨虹  None   11936724
731   002272    川润股份  None    1989000
732   002273    水晶光电  None   37919855
733   002274    华昌化工  None   12723728
734   002275    桂林三金  None     307447
735   002276    万马股份  None   29368296
736   002277    友阿股份  None    5109600
737   002278    神开股份  None    3419799
738   002279    久其软件  None    5180512
739   002280    联络互动  None  227007603
740   002281    光迅科技  None    5835256
741   002282    博深股份  None     406100
742   002283    天润曲轴  None    2160000
743   002284    亚太股份  None    1478500
744   002285     世联行  None   12508354
745   002286     保龄宝  None    2481432
746   002287    奇正藏药  None    1033264
747   002288    超华科技  None   12364378
748   002289   _st宇顺  None     654250
749   002290   _st中科  None     325218
750   002291     星期六  None    7406500
751   002292    奥飞娱乐  None   11121428
752   002293    罗莱生活  None     600382
753   002294     信立泰  None    2243017
754   002295    精艺股份  None    1038750
755   002296    辉煌科技  None   26043644
756   002297    博云新材  None    2678995
757   002298    中电兴发  None    4310600
758   002299    圣农发展  None   11387592
759   002300    太阳电缆  None    1537488
760   002301    齐心集团  None    5976116
761   002302    西部建设  None    9745399
762   002303     美盈森  None   23261079
763   002304    洋河股份  None    3024790
764   002305    南国置业  None    5799000
765   002306    st云网  None    2699353
766   002307    北新路桥  None    7463973
767   002308    威创股份  None    8853821
768   002309    中利集团  None    3941940
769   002310    东方园林  None    7816745
770   002311    海大集团  None    7877041
771   002312    三泰控股  None   30100069
772   002313    日海智能  None    2825845
773   002314    南山控股  None    3548700
774   002315    焦点科技  None    1652873
775   002316    亚联发展  None    5874200
776   002317    众生药业  None    2944862
777   002318    久立特材  None   12243595
778   002319    乐通股份  None    1188858
779   002320    海峡股份  None    8404031
780   002321    华英农业  None    6931631
781   002322    理工环科  None    3385382
782   002323   _st百特  None          0
783   002324     普利特  None    3563113
784   002325    洪涛股份  None    2826491
785   002326    永太科技  None   23255029
